--- Overview for 2Q, 4F(Y+X), 6W ---

Number of Training Runs: 100

Training Accuracy:  0.7556 ± 0.0300
Test Accuracy:      0.7463 ± 0.0386
Final Loss:         0.9029 ± 0.0051
Iterations per run: 30

Individual Results:
  Run 1: Train=0.7458, Test=0.7250, Loss=0.8985
  Run 2: Train=0.7438, Test=0.7417, Loss=0.9095
  Run 3: Train=0.7854, Test=0.7833, Loss=0.9050
  Run 4: Train=0.7125, Test=0.6917, Loss=0.9029
  Run 5: Train=0.7208, Test=0.7000, Loss=0.9117
  Run 6: Train=0.7750, Test=0.7583, Loss=0.8976
  Run 7: Train=0.7250, Test=0.7000, Loss=0.9009
  Run 8: Train=0.7688, Test=0.7583, Loss=0.9039
  Run 9: Train=0.7375, Test=0.7417, Loss=0.9059
  Run 10: Train=0.8021, Test=0.8250, Loss=0.9012
  Run 11: Train=0.7458, Test=0.7000, Loss=0.9065
  Run 12: Train=0.7458, Test=0.6917, Loss=0.9104
  Run 13: Train=0.7875, Test=0.7917, Loss=0.9029
  Run 14: Train=0.7875, Test=0.8000, Loss=0.8979
  Run 15: Train=0.6562, Test=0.6250, Loss=0.9222
  Run 16: Train=0.7521, Test=0.7500, Loss=0.9010
  Run 17: Train=0.7354, Test=0.7083, Loss=0.9000
  Run 18: Train=0.7417, Test=0.7417, Loss=0.8972
  Run 19: Train=0.8021, Test=0.8167, Loss=0.9053
  Run 20: Train=0.7083, Test=0.6417, Loss=0.9140
  Run 21: Train=0.7646, Test=0.7583, Loss=0.8976
  Run 22: Train=0.7625, Test=0.7583, Loss=0.9027
  Run 23: Train=0.7479, Test=0.7417, Loss=0.9001
  Run 24: Train=0.7562, Test=0.7417, Loss=0.8978
  Run 25: Train=0.7292, Test=0.7500, Loss=0.8980
  Run 26: Train=0.6667, Test=0.5917, Loss=0.9154
  Run 27: Train=0.7750, Test=0.7500, Loss=0.8979
  Run 28: Train=0.7271, Test=0.7333, Loss=0.8978
  Run 29: Train=0.7812, Test=0.7583, Loss=0.9076
  Run 30: Train=0.7396, Test=0.7417, Loss=0.8979
  Run 31: Train=0.7417, Test=0.7417, Loss=0.8991
  Run 32: Train=0.7354, Test=0.7417, Loss=0.9086
  Run 33: Train=0.7812, Test=0.7583, Loss=0.9017
  Run 34: Train=0.7396, Test=0.7417, Loss=0.8987
  Run 35: Train=0.7688, Test=0.7500, Loss=0.9086
  Run 36: Train=0.7417, Test=0.7417, Loss=0.9015
  Run 37: Train=0.7458, Test=0.7417, Loss=0.8974
  Run 38: Train=0.6875, Test=0.6417, Loss=0.9051
  Run 39: Train=0.7937, Test=0.8083, Loss=0.9059
  Run 40: Train=0.7250, Test=0.7000, Loss=0.9034
  Run 41: Train=0.7438, Test=0.7167, Loss=0.9134
  Run 42: Train=0.7458, Test=0.7500, Loss=0.8985
  Run 43: Train=0.7354, Test=0.7417, Loss=0.8977
  Run 44: Train=0.7979, Test=0.8000, Loss=0.9056
  Run 45: Train=0.7333, Test=0.7417, Loss=0.8983
  Run 46: Train=0.7375, Test=0.7417, Loss=0.9039
  Run 47: Train=0.7812, Test=0.7500, Loss=0.9015
  Run 48: Train=0.7625, Test=0.7417, Loss=0.9033
  Run 49: Train=0.7250, Test=0.6833, Loss=0.9033
  Run 50: Train=0.7875, Test=0.7833, Loss=0.8987
  Run 51: Train=0.7833, Test=0.8000, Loss=0.9054
  Run 52: Train=0.7854, Test=0.7833, Loss=0.9027
  Run 53: Train=0.7167, Test=0.6917, Loss=0.8985
  Run 54: Train=0.7708, Test=0.7667, Loss=0.8992
  Run 55: Train=0.7854, Test=0.8083, Loss=0.9047
  Run 56: Train=0.7917, Test=0.7750, Loss=0.8979
  Run 57: Train=0.7750, Test=0.7583, Loss=0.9042
  Run 58: Train=0.7833, Test=0.7750, Loss=0.9005
  Run 59: Train=0.7688, Test=0.7500, Loss=0.9048
  Run 60: Train=0.7750, Test=0.7667, Loss=0.8973
  Run 61: Train=0.7375, Test=0.7417, Loss=0.8974
  Run 62: Train=0.6438, Test=0.7833, Loss=0.9228
  Run 63: Train=0.7875, Test=0.7500, Loss=0.9071
  Run 64: Train=0.7750, Test=0.7667, Loss=0.9009
  Run 65: Train=0.7812, Test=0.7583, Loss=0.9000
  Run 66: Train=0.7479, Test=0.7417, Loss=0.9057
  Run 67: Train=0.7708, Test=0.7500, Loss=0.8971
  Run 68: Train=0.7479, Test=0.7167, Loss=0.9019
  Run 69: Train=0.7562, Test=0.7500, Loss=0.8979
  Run 70: Train=0.7562, Test=0.7333, Loss=0.9051
  Run 71: Train=0.7333, Test=0.7167, Loss=0.9020
  Run 72: Train=0.7812, Test=0.7833, Loss=0.9000
  Run 73: Train=0.7812, Test=0.7417, Loss=0.9010
  Run 74: Train=0.7812, Test=0.7750, Loss=0.9043
  Run 75: Train=0.7375, Test=0.7417, Loss=0.9024
  Run 76: Train=0.7729, Test=0.7667, Loss=0.8997
  Run 77: Train=0.7979, Test=0.7750, Loss=0.8984
  Run 78: Train=0.7854, Test=0.7750, Loss=0.8988
  Run 79: Train=0.7812, Test=0.7833, Loss=0.9018
  Run 80: Train=0.7542, Test=0.7333, Loss=0.9032
  Run 81: Train=0.7792, Test=0.7583, Loss=0.9000
  Run 82: Train=0.7812, Test=0.7833, Loss=0.9000
  Run 83: Train=0.7438, Test=0.7500, Loss=0.9004
  Run 84: Train=0.7688, Test=0.7417, Loss=0.8973
  Run 85: Train=0.7979, Test=0.7750, Loss=0.9007
  Run 86: Train=0.7667, Test=0.7667, Loss=0.8987
  Run 87: Train=0.7354, Test=0.7417, Loss=0.9030
  Run 88: Train=0.7438, Test=0.7167, Loss=0.9081
  Run 89: Train=0.7458, Test=0.7417, Loss=0.9110
  Run 90: Train=0.7604, Test=0.7500, Loss=0.8999
  Run 91: Train=0.7479, Test=0.7500, Loss=0.8975
  Run 92: Train=0.7396, Test=0.7000, Loss=0.9095
  Run 93: Train=0.8042, Test=0.8083, Loss=0.9003
  Run 94: Train=0.7500, Test=0.7167, Loss=0.9089
  Run 95: Train=0.7271, Test=0.7083, Loss=0.9008
  Run 96: Train=0.7854, Test=0.7833, Loss=0.9083
  Run 97: Train=0.7375, Test=0.7417, Loss=0.9058
  Run 98: Train=0.7312, Test=0.7667, Loss=0.8978
  Run 99: Train=0.7521, Test=0.7417, Loss=0.9077
  Run 100: Train=0.7792, Test=0.8000, Loss=0.9070

Best Weights (from best test run):
[1.8105 1.0920 2.0073 0.5903 0.5679 -0.2908]
